Parking_Violations
Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Violation Location,Issuer Precinct,Violation Time,Violation County,Vehicle Color,Vehicle Year
1493978688,T775025C,NY,PAS,11/08/2025,20,SUBN,TOYOT,P,1,1,0445P,NY,BK,2023
1492361537,5A14H,NY,OMT,11/08/2025,98,VAN,NISSA,P,110,110,0120A,Q,YEL,2016
1499250009,E75KFC,NJ,PAS,11/08/2025,46,SDN,ME/BE,P,67,61,0618P,,WHITE,2015
1499250010,7KMV708,CA,PAS,11/08/2025,46,SDN,MAZDA,P,67,61,0626P,K,BLACK,2022
1499250022,D70UFB,NJ,PAS,11/08/2025,46,SUBN,JEEP,P,67,61,0631P,K,WHTE,2018
1500988339,LFT5579,NY,PAS,11/08/2025,21,SUBN,JEEP,P,40,40,1149A,BX,GY,2016
1498732318,JMA3809,NY,PAS,11/10/2025,46,VAN,CHEVR,P,26,26,0751P,NY,WHI,0
1499467849,KJB9131,NY,PAS,11/10/2025,46,SUBN,LEXUS,P,28,28,0149P,NY,BLK,2021
1498758575,HUP5140,NY,PAS,11/10/2025,20,SDN,NISSA,P,32,32,0543P,NY,BLK,0
1495967700,T807020C,NY,PAS,11/10/2025,19,SDN,CHEVR,P,114,108,0318A,NY,SIL,2022
1498847766,BN81603,CT,PAS,11/11/2025,40,SDN,ACURA,P,68,68,1130A,K,GREY,2012
1499060282,673446,KS,PAS,11/11/2025,6,DELV,INTER,P,103,103,0225A,Q,WH,0
1499060294,52905NE,NY,COM,11/11/2025,6,DUMP,MACK,P,103,103,0230A,Q,GRN,1996
1499060324,AM33190,AZ,PAS,11/11/2025,78,VAN,GMC,P,103,103,0239A,Q,WH,2023
1491329579,LKP2858,NY,PAS,11/12/2025,14,SUBN,TOYOT,P,68,68,0330A,K,GRAY,2024
1495967943,858BV4,NY,PAS,11/12/2025,74,,HONDA,P,108,108,0916P,Q,RED,1985
1497609586,LCA7386,NY,PAS,11/12/2025,14,SDN,GENSI,P,110,104,1229A,Q,RED,0
1497901595,KTK5697,NY,PAS,11/13/2025,50,SUBN,JEEP,P,,1,1055A,NY,BK,2021
1473414738,15329MH,NY,COM,11/13/2025,14,VAN,DODGE,P,13,13,1015A,,,0
1497628192,14081ND,NY,PAS,11/13/2025,78,,FORD,P,115,115,1010P,,WHITE,2011
1497628027,S2363AC,NY,PAS,11/13/2025,78,VAN,FORD,P,115,115,1026P,,,0
1498732150,LCM2806,NY,PAS,11/13/2025,40,SUBN,HONDA,P,26,26,0531P,,BLU,2008
1497628039,76803NE,NY,PAS,11/13/2025,78,VAN,FRUEH,P,115,115,1005P,Q,YELL,2014
1494811637,JMY1450,NY,PAS,11/14/2025,98,,TOYOT,P,,120,0110A,R,,0
1489606385,HVZ6505,NY,PAS,11/14/2025,17,SDN,VOLKS,O,84,0,0813A,K,WHITE,2017
1498234010,BLANKPLATE,99,999,11/14/2025,74,SDN,NISSA,P,41,41,1214A,BX,BLK,2008
